Sl.,Grade,Subject,Chapter No.,Chapter,Section Number,Section,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
654,9,English,7,Carrier of Words & Words,7.2,Words - Poetry,Question 54: How does 'Words' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
655,9,English,7,Carrier of Words & Words,7.1,Carrier of Words - Prose,"Question 55: In 'Carrier of Words', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
755,9,English,8,Follow That Dream & Believe in Yourself,8.1,Follow That Dream - Prose,"Question 55: In 'Follow That Dream', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
55,9,English,1,How I Taught My Grandmother to Read & Bharat Our Land,1.1,How I Taught My Grandmother to Read - Prose,"Question 55: In 'How I Taught My Grandmother to Read', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
155,9,English,2,The Pot Maker & Gifts of Grace,2.1,The Pot Maker - Prose,"Question 55: In 'The Pot Maker', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
455,9,English,5,The World of Limitless Possibilities & Nine Gold Medals,5.1,The World of Limitless Possibilities - Prose,"Question 55: In 'The World of Limitless Possibilities', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
555,9,English,6,Twin Melodies & A Friend Found in Music,6.1,Twin Melodies - Prose,"Question 55: In 'Twin Melodies', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
355,9,English,4,Vitamin-M & I Cannot Remember My Mother,4.1,Vitamin-M - Prose,"Question 55: In 'Vitamin-M', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
255,9,English,3,Winds of Change & Canvas of Soil,3.1,Winds of Change - Prose,"Question 55: In 'Winds of Change', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
556,9,English,6,Twin Melodies & A Friend Found in Music,6.2,A Friend Found in Music - Poetry,Question 56: How does 'A Friend Found in Music' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
756,9,English,8,Follow That Dream & Believe in Yourself,8.2,Believe in Yourself - Poetry,Question 56: How does 'Believe in Yourself' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
56,9,English,1,How I Taught My Grandmother to Read & Bharat Our Land,1.2,Bharat Our Land - Poetry,Question 56: How does 'Bharat Our Land' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
256,9,English,3,Winds of Change & Canvas of Soil,3.2,Canvas of Soil - Poetry,Question 56: How does 'Canvas of Soil' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
156,9,English,2,The Pot Maker & Gifts of Grace,2.2,Gifts of Grace: Honouring Our Vocations - Poetry,Question 56: How does 'Gifts of Grace: Honouring Our Vocations' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
356,9,English,4,Vitamin-M & I Cannot Remember My Mother,4.2,I Cannot Remember My Mother - Poetry,Question 56: How does 'I Cannot Remember My Mother' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
456,9,English,5,The World of Limitless Possibilities & Nine Gold Medals,5.2,Nine Gold Medals - Poetry,Question 56: How does 'Nine Gold Medals' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
656,9,English,7,Carrier of Words & Words,7.2,Words - Poetry,Question 56: How does 'Words' connect personal emotions with poetic imagery?,By contrasting industrial noise with absolute silence.,By linking sensory images to deep moral and emotional truths.,By relying on mathematical formulas to explain feelings.,By emphasizing negative outcomes of human actions.,B,3
657,9,English,7,Carrier of Words & Words,7.1,Carrier of Words - Prose,"Question 57: In 'Carrier of Words', how does the central character's effort connect to broader social change?","By demonstrating that age, gender, or background cannot restrict one's pursuit of learning.",By showing that formal institutional degrees are required for every personal task.,By proving that traditional practices should be eradicated.,By arguing that individual initiative has zero social impact.,A,3
